volume,file,url,center_lon_w,hemisphere,geo_unit,terrain,group,n_bands,wave_min_um,wave_max_um,coverage_0p7_2p0,coverage_0p7_5p2,incidence_angle,emission_angle,phase_angle,label_error
go_1116,15e014ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e014ci.qub,189.79000000000002,trailing,pr,plains,trailing_plains,360,0.6887,5.2592,True,True,34.41,18.66,52.92,
go_1116,15e014cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e014cr.qub,189.79000000000002,trailing,pr,plains,trailing_plains,360,0.6887,5.2592,True,True,34.41,18.66,52.92,
go_1116,15e014ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e014ti.qub,189.79000000000002,trailing,pr,plains,trailing_plains,360,0.6887,5.2592,True,True,31.58,15.79,47.27,
go_1116,15e014tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e014tr.qub,189.79000000000002,trailing,pr,plains,trailing_plains,360,0.6887,5.2592,True,True,31.58,15.79,47.27,
go_1116,15e015ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e015ti.qub,79.955,leading,chm,chaos,leading_chaos,360,0.6887,5.2592,True,True,44.72,41.75,86.42,
go_1116,15e015tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e015tr.qub,79.955,leading,chm,chaos,leading_chaos,360,0.6887,5.2592,True,True,44.72,41.75,86.42,
go_1116,15e016ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e016ci.qub,60.065,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,56.34,53.55,98.99,
go_1116,15e016cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e016cr.qub,60.065,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,56.34,53.55,98.99,
go_1116,15e016ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e016ti.qub,60.065,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,62.7,50.22,98.69,
go_1116,15e016tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e016tr.qub,60.065,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,62.7,50.22,98.69,
go_1116,15e017ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e017ci.qub,56.86,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,55.17,47.83,102.96,
go_1116,15e017cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e017cr.qub,56.86,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,55.17,47.83,102.96,
go_1116,15e017ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e017ti.qub,56.86,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,55.19,47.78,102.96,
go_1116,15e017tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e017tr.qub,56.86,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,55.19,47.78,102.96,
go_1116,15e501ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e501ci.qub,66.185,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,76.43,33.06,109.2,
go_1116,15e501cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e501cr.qub,66.185,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,76.43,33.06,109.2,
go_1117,17e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e001ci.qub,139.71,leading,chm,chaos,leading_chaos,240,2.0892,5.274,False,False,59.32,19.76,77.35,
go_1117,17e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e001cr.qub,139.71,leading,chm,chaos,leading_chaos,240,2.0892,5.274,False,False,59.32,19.76,77.35,
go_1117,17e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e001ti.qub,139.71,leading,chm,chaos,leading_chaos,240,2.0892,5.274,False,False,66.11,11.34,77.34,
go_1117,17e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e001tr.qub,139.71,leading,chm,chaos,leading_chaos,240,2.0892,5.274,False,False,66.11,11.34,77.34,
go_1117,17e002ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e002ci.qub,140.01999999999998,leading,chm,chaos,leading_chaos,240,0.6943,4.4249,True,False,74.3,8.28,77.26,
go_1117,17e002cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e002cr.qub,140.01999999999998,leading,chm,chaos,leading_chaos,240,0.6943,4.4249,True,False,74.3,8.28,77.26,
go_1117,17e002ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e002ti.qub,140.01999999999998,leading,chm,chaos,leading_chaos,240,0.6943,4.4249,True,False,75.64,1.83,77.26,
go_1117,17e002tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e002tr.qub,140.01999999999998,leading,chm,chaos,leading_chaos,240,0.6943,4.4249,True,False,75.64,1.83,77.26,
go_1117,17e003ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e003ti.qub,139.815,leading,chm,chaos,leading_chaos,240,2.0892,5.274,False,False,12.68,89.99,77.43,
go_1117,17e003tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e003tr.qub,139.815,leading,chm,chaos,leading_chaos,240,2.0892,5.274,False,False,12.68,89.99,77.43,
go_1117,17e004ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e004ci.qub,208.32999999999998,trailing,pr,plains,trailing_plains,228,0.7021,5.274,False,False,50.79,26.84,77.61,
go_1117,17e004cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e004cr.qub,208.32999999999998,trailing,pr,plains,trailing_plains,228,0.7021,5.274,False,False,50.79,26.84,77.61,
go_1117,17e004ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e004ti.qub,208.32999999999998,trailing,pr,plains,trailing_plains,228,0.7021,5.274,False,False,15.73,89.99,78.09,
go_1117,17e004tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e004tr.qub,208.32999999999998,trailing,pr,plains,trailing_plains,228,0.7021,5.274,False,False,15.73,89.99,78.09,
go_1117,17e005ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e005ci.qub,73.29499999999999,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,74.58,26.57,101.04,
go_1117,17e005cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e005cr.qub,73.29499999999999,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,74.58,26.57,101.04,
go_1117,17e005ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e005ti.qub,73.29499999999999,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,58.53,47.41,101.18,
go_1117,17e005tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e005tr.qub,73.29499999999999,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,58.53,47.41,101.18,
go_1117,17e008ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e008ci.qub,201.72,trailing,pr,plains,trailing_plains,360,0.6943,5.274,True,True,79.28,43.03,58.81,
go_1117,17e008cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e008cr.qub,201.72,trailing,pr,plains,trailing_plains,360,0.6943,5.274,True,True,79.28,43.03,58.81,
go_1117,17e008ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e008ti.qub,201.72,trailing,pr,plains,trailing_plains,360,0.6943,5.274,True,True,77.64,44.09,57.43,
go_1117,17e008tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e008tr.qub,201.72,trailing,pr,plains,trailing_plains,360,0.6943,5.274,True,True,77.64,44.09,57.43,
go_1117,17e009ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e009ti.qub,95.265,leading,chm,chaos,leading_chaos,360,0.6943,5.274,True,True,68.22,51.71,69.42,
go_1117,17e009tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e009tr.qub,95.265,leading,chm,chaos,leading_chaos,360,0.6943,5.274,True,True,68.22,51.71,69.42,
go_1117,17e010ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e010ci.qub,70.27000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,76.16,63.92,87.13,
go_1117,17e010cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e010cr.qub,70.27000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,76.16,63.92,87.13,
go_1117,17e010ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e010ti.qub,70.27000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,73.16,66.15,86.66,
go_1117,17e010tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e010tr.qub,70.27000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,73.16,66.15,86.66,
go_1117,17e011ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e011ci.qub,65.02000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,77.15,33.73,91.0,
go_1117,17e011cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e011cr.qub,65.02000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,77.15,33.73,91.0,
go_1117,17e011ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e011ti.qub,65.02000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,77.42,33.25,90.95,
go_1117,17e011tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e011tr.qub,65.02000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,77.42,33.25,90.95,
go_1117,19e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e001ci.qub,17.655,leading,pr,plains,leading_plains,15,0.6889,4.9033,True,False,84.87,56.96,140.94,
go_1117,19e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e001cr.qub,17.655,leading,pr,plains,leading_plains,15,0.6889,4.9033,True,False,84.87,56.96,140.94,
go_1117,19e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e001ti.qub,17.67,leading,pr,plains,leading_plains,15,0.6889,4.9033,True,False,84.6,52.43,136.95,
go_1117,19e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e001tr.qub,17.67,leading,pr,plains,leading_plains,15,0.6889,4.9033,True,False,84.6,52.43,136.95,
go_1117,19e002ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e002ti.qub,51.43,leading,chm,chaos,leading_chaos,15,0.6889,4.9033,True,False,86.11,26.28,100.58,
go_1117,19e002tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e002tr.qub,51.43,leading,chm,chaos,leading_chaos,15,0.6889,4.9033,True,False,86.11,26.28,100.58,
go_1118,20e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/20e001ci.qub,59.335,leading,chh,chaos,leading_chaos,360,0.6869,5.2679,True,True,33.55,28.66,58.7,
go_1118,20e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/20e001cr.qub,59.335,leading,chh,chaos,leading_chaos,360,0.6869,5.2679,True,True,33.55,28.66,58.7,
go_1118,20e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/20e001ti.qub,59.335,leading,chh,chaos,leading_chaos,360,0.6869,5.2679,True,True,66.37,10.84,58.67,
go_1118,20e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/20e001tr.qub,59.335,leading,chh,chaos,leading_chaos,360,0.6869,5.2679,True,True,66.37,10.84,58.67,
go_1118,25e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e001ci.qub,19.975,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,2.77,40.55,42.11,
go_1118,25e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e001cr.qub,19.975,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,2.77,40.55,42.11,
go_1118,25e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e001ti.qub,19.975,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,2.74,41.38,42.11,
go_1118,25e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e001tr.qub,19.975,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,2.74,41.38,42.11,
go_1118,25e002ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e002ci.qub,21.065,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,43.01,2.08,41.97,
go_1118,25e002cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e002cr.qub,21.065,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,43.01,2.08,41.97,
go_1118,25e002ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e002ti.qub,21.065,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,42.1,1.97,41.98,
go_1118,25e002tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e002tr.qub,21.065,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,42.1,1.97,41.98,
go_1118,25e004ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e004ci.qub,33.085,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,73.78,46.81,35.28,
go_1118,25e004cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e004cr.qub,33.085,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,73.78,46.81,35.28,
go_1118,25e004ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e004ti.qub,33.085,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,73.51,44.41,35.67,
go_1118,25e004tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e004tr.qub,33.085,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,73.51,44.41,35.67,
go_1118,25e006ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e006ci.qub,17.205,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,49.66,21.5,36.22,
go_1118,25e006cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e006cr.qub,17.205,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,49.66,21.5,36.22,
go_1118,25e006ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e006ti.qub,17.205,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,49.3,21.46,36.23,
go_1118,25e006tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e006tr.qub,17.205,leading,pr,plains,leading_plains,15,0.587,4.6967,True,False,49.3,21.46,36.23,
go_1119,28e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1119/europa/28e001ci.qub,59.42,leading,chh,chaos,leading_chaos,15,0.587,4.6967,True,False,78.82,20.69,59.32,
go_1119,28e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1119/europa/28e001cr.qub,59.42,leading,chh,chaos,leading_chaos,15,0.587,4.6967,True,False,78.82,20.69,59.32,
go_1119,28e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1119/europa/28e001ti.qub,59.42,leading,chh,chaos,leading_chaos,15,0.587,4.6967,True,False,78.03,22.89,59.32,
go_1119,28e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1119/europa/28e001tr.qub,59.42,leading,chh,chaos,leading_chaos,15,0.587,4.6967,True,False,78.03,22.89,59.32,
go_1119,29e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1119/europa/29e001ci.qub,303.365,trailing,chm,chaos,trailing_chaos,12,1.0348,4.6967,False,False,72.02,7.88,72.88,
go_1119,29e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1119/europa/29e001cr.qub,303.365,trailing,chm,chaos,trailing_chaos,12,1.0348,4.6967,False,False,72.02,7.88,72.88,
go_1119,29e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1119/europa/29e001ti.qub,303.365,trailing,chm,chaos,trailing_chaos,12,1.0348,4.6967,False,False,85.34,25.81,72.88,
go_1119,29e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1119/europa/29e001tr.qub,303.365,trailing,chm,chaos,trailing_chaos,12,1.0348,4.6967,False,False,85.34,25.81,72.88,
