model,rho_geo,rho_rad,pr_auc_spectral,pr_auc_full,pr_auc_context_only,delta_pr_auc,delta_full_minus_context,fpr_rad_spectral,fpr_rad_full,fpr_reduction_rad_mimic,precision10_spectral,precision10_full,recall10_spectral,recall10_full,delta_precision10,delta_recall10,top10_rad_spectral,top10_rad_full,top10_rad_reduction,top10_exogenic_spectral,top10_exogenic_full
logreg,0.0,0.0,0.9466715627092037,0.9482810925632649,0.1932838837387652,0.0016095298540611536,0.7549972088244996,0.0,0.0,0.0,1.0,1.0,0.5813953488372093,0.5813953488372093,0.0,0.0,0,0,0,0,0
logreg,0.0,0.25,0.9617211351124814,0.9669108853977247,0.27598983974113594,0.0051897502852433774,0.6909210456565889,0.0,0.0,0.0,1.0,1.0,0.5681818181818182,0.5681818181818182,0.0,0.0,0,0,0,0,0
logreg,0.0,0.5,0.9337738794745837,0.9378242715335514,0.3100186521197358,0.004050392058967733,0.6278056194138156,0.0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.5323741007194245,0.5323741007194245,0.0,0.0,0,0,0,0,0
logreg,0.0,0.75,0.9498665416220694,0.9527589279932153,0.2796302636341749,0.002892386371145861,0.6731286643590404,0.0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.5138888888888888,0.5138888888888888,0.0,0.0,0,0,0,0,0
logreg,0.0,1.0,0.9477572764485789,0.9566706797201,0.28799085411142616,0.008913403271521125,0.6686798256086739,0.0,0.0,0.0,1.0,1.0,0.5681818181818182,0.5681818181818182,0.0,0.0,0,0,0,0,0
logreg,0.25,0.0,0.9507580049353975,0.9648863977032424,0.4946815632726476,0.014128392767844833,0.47020483443059474,0.0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.5522388059701493,0.5522388059701493,0.0,0.0,0,0,0,0,0
logreg,0.25,0.25,0.9539067529060901,0.9694095529915051,0.4371433591096612,0.015502800085415047,0.5322661938818439,0.0,0.0,0.0,1.0,1.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0,0,0,0,0
logreg,0.25,0.5,0.9682289287805436,0.9702066130889994,0.39937986580280127,0.001977684308455796,0.5708267472861981,0.0,0.0,0.0,1.0,0.9866666666666667,0.6048387096774194,0.5967741935483871,-0.013333333333333308,-0.008064516129032251,0,0,0,0,0
logreg,0.25,0.75,0.9552288297358543,0.9592367249647643,0.4368840677800062,0.004007895228909986,0.5223526571847581,0.0,0.0,0.0,1.0,1.0,0.5319148936170213,0.5319148936170213,0.0,0.0,0,0,0,0,0
logreg,0.25,1.0,0.968031106333124,0.9736533196258251,0.5016959038148205,0.005622213292701184,0.4719574158110046,0.0,0.0,0.0,0.9733333333333334,1.0,0.4965986394557823,0.5102040816326531,0.026666666666666616,0.013605442176870763,0,0,0,0,0
logreg,0.5,0.0,0.9634274471395082,0.9816871578493161,0.4463674997060733,0.01825971070980792,0.5353196581432429,0.0,0.0,0.0,1.0,1.0,0.5681818181818182,0.5681818181818182,0.0,0.0,0,0,0,0,0
logreg,0.5,0.25,0.9569898083677539,0.977329646499616,0.4721364864257558,0.02033983813186202,0.5051931600738602,0.0,0.0,0.0,0.9733333333333334,1.0,0.5367647058823529,0.5514705882352942,0.026666666666666616,0.014705882352941235,0,0,0,0,0
logreg,0.5,0.5,0.960703454454466,0.9713005489882375,0.47196156484709106,0.010597094533771445,0.4993389841411464,0.0,0.0,0.0,0.9866666666666667,1.0,0.4900662251655629,0.4966887417218543,0.013333333333333308,0.006622516556291369,0,0,0,0,0
logreg,0.5,0.75,0.9624152083742784,0.9861553793526384,0.5196251427810131,0.02374017097836001,0.4665302365716253,0.0,0.0,0.0,1.0,1.0,0.5102040816326531,0.5102040816326531,0.0,0.0,0,0,0,0,0
logreg,0.5,1.0,0.9383251244889218,0.9693780071428516,0.4520748623047846,0.031052882653929803,0.5173031448380669,0.0,0.0,0.0,1.0,1.0,0.5639097744360902,0.5639097744360902,0.0,0.0,0,0,0,0,0
logreg,0.75,0.0,0.9551322020496391,0.9816521449017762,0.44204771813975363,0.0265199428521371,0.5396044267620226,0.0,0.0,0.0,1.0,1.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0,0,0,0,0
logreg,0.75,0.25,0.9599961767118423,0.9839606263107594,0.5187678941952271,0.02396444959891708,0.46519273211553236,0.0,0.0,0.0,1.0,1.0,0.5357142857142857,0.5357142857142857,0.0,0.0,0,0,0,0,0
logreg,0.75,0.5,0.9253742520905713,0.9620563688294775,0.4838678500356245,0.0366821167389062,0.47818851879385305,0.0,0.0,0.0,0.96,1.0,0.5901639344262295,0.6147540983606558,0.040000000000000036,0.024590163934426257,0,0,0,0,0
logreg,0.75,0.75,0.9629311962525431,0.9842691601070298,0.5533014681892688,0.02133796385448672,0.43096769191776096,0.0,0.0,0.0,1.0,1.0,0.5357142857142857,0.5357142857142857,0.0,0.0,0,0,0,0,0
logreg,0.75,1.0,0.9365282525271525,0.9702301575796508,0.4550011351823019,0.03370190505249826,0.5152290223973489,0.0,0.0,0.0,0.9733333333333334,0.9866666666666667,0.5703125,0.578125,0.013333333333333308,0.0078125,0,0,0,1,0
logreg,1.0,0.0,0.9534696577157367,0.9831283046204452,0.4361196029383942,0.02965864690470854,0.5470087016820511,0.0,0.0,0.0,0.9866666666666667,1.0,0.578125,0.5859375,0.013333333333333308,0.0078125,0,0,0,0,0
logreg,1.0,0.25,0.9486405976390783,0.9870892826753382,0.41879571896075846,0.03844868503625998,0.5682935637145798,0.0,0.0,0.0,0.9866666666666667,1.0,0.5362318840579711,0.5434782608695652,0.013333333333333308,0.007246376811594124,0,0,0,0,0
logreg,1.0,0.5,0.9486112984191452,0.9778324949621223,0.4785742555577754,0.029221196542977168,0.49925823940434694,0.0,0.0,0.0,0.9866666666666667,1.0,0.592,0.6,0.013333333333333308,0.008000000000000007,0,0,0,0,0
logreg,1.0,0.75,0.9523688434230503,0.9848759436560695,0.4593735473874351,0.03250710023301917,0.5255023962686344,0.0,0.0,0.0,0.9866666666666667,1.0,0.5522388059701493,0.5597014925373134,0.013333333333333308,0.00746268656716409,0,0,0,0,0
logreg,1.0,1.0,0.9590193388651181,0.9842398159288142,0.4253318387788234,0.025220477063696012,0.5589079771499907,0.0,0.0,0.0,1.0,1.0,0.5813953488372093,0.5813953488372093,0.0,0.0,0,0,0,0,0
